millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
155210,24.78115,95193,14.24403,100.55300,523.51636,-9.99961,-0.09332,-0.23689,0.02352,-0.01405,0.02077,-34.01052,-7.57089,20.30108,20,
156606,24.77547,95192,14.24378,100.37300,523.60620,-9.87039,0.14357,0.33739,-0.01985,-0.10263,0.08155,-33.61590,-9.03245,18.26951,20,
157949,24.79250,95193,14.23961,100.67300,523.42920,-10.57388,0.31585,0.16510,0.08827,0.12004,-0.08460,-34.31745,-8.12628,19.99415,20,
159322,24.80576,95194,14.24019,100.97500,523.42920,-9.87757,-0.01436,0.43789,-0.00031,-0.00855,0.05192,-33.87898,-8.76937,17.52412,20,
160667,24.82785,95194,14.24117,100.61300,523.42920,-10.09293,0.05025,0.02871,0.01344,-0.00428,-0.02810,-33.63052,-9.10552,19.23414,20,
162016,24.84930,95194,14.25196,100.79400,523.34198,-10.35135,0.05025,-0.32303,0.00855,-0.04704,0.00580,-33.87898,-8.52090,19.00029,20,
163361,24.87044,95194,14.24797,100.97500,523.34198,-10.15753,0.07178,-0.07178,-0.00947,-0.04093,0.02871,-33.35282,-8.41859,19.70184,20,
164707,24.88874,95196,14.24385,101.40200,523.25476,-10.04268,-0.00718,-0.07178,0.02841,-0.01252,-0.00305,-33.90821,-8.84244,19.42414,20,
166053,24.90484,95195,14.24948,101.34100,523.34198,-9.99961,-0.40199,0.20818,0.16768,0.16921,0.05559,-34.30284,-8.50628,19.02952,20,
167403,24.91872,95195,14.24517,101.46300,523.42920,-9.78425,-0.87577,2.27557,0.02016,-0.07239,-0.09652,-37.19672,-5.68547,11.19556,20,
168749,24.93418,95194,14.25078,101.34100,523.42920,-9.89911,-2.69193,0.34457,-0.58521,-0.43035,-0.14691,-39.38907,1.03771,12.87635,20,
170093,24.95028,95195,14.25149,101.28000,523.25476,-9.86322,-0.56710,1.77308,0.01130,0.01497,-0.02810,-36.72903,-3.90237,20.30108,20,
171441,24.96416,95195,14.23732,102.39000,523.34198,-8.70030,-3.33799,-2.77807,0.08125,0.21930,0.51649,-37.51827,6.76703,25.60655,20,
172840,24.95374,95196,14.24179,101.64700,523.34198,-8.63570,-4.33579,-2.13200,-0.00611,0.07147,0.02046,-39.59369,11.48787,20.90032,20,
174186,24.96826,95195,14.25721,102.01700,523.25476,-8.50648,-4.86700,-2.64885,-0.41966,-0.48075,0.17104,-38.16135,12.18942,25.37270,20,
175533,24.99287,95196,14.25830,101.46300,523.25476,-9.96371,-0.06461,0.39482,0.36133,0.27275,-0.05559,-35.01900,-7.16165,17.46565,20,
176878,25.01307,95194,14.26905,101.52400,523.42920,-9.72682,-2.40479,-0.10050,0.04673,0.06170,-0.00244,-38.80444,2.11926,19.42414,20,
178228,25.02884,95194,14.26975,101.64700,523.42920,-9.69811,-1.65105,1.38544,0.10446,0.22633,-0.20311,-37.79597,-2.17773,14.06022,20,
179573,25.04683,95195,14.28533,101.70900,523.34198,-9.86322,-1.50748,0.72503,0.04215,-0.00672,0.00428,-38.05905,-0.93540,16.82257,20,
180920,25.06229,95194,14.30573,101.34100,523.42920,-9.38226,-1.72283,0.12921,-0.12889,-0.26420,0.10812,-38.20520,1.44695,20.18416,20,
182266,25.07396,95194,14.33584,101.34100,523.42920,-9.84168,-1.98126,0.28714,0.08613,0.06445,-0.06720,-38.10289,1.19848,20.40339,20,
183619,25.08911,95194,14.33158,101.21900,523.42920,-10.17907,-2.49811,-0.28714,-0.10873,-0.23060,0.18479,-38.07366,2.00234,23.07805,20,
184965,25.10457,95194,14.36680,101.64700,523.42920,-9.71965,-2.62014,-0.40199,0.02810,-0.04734,-0.05009,-38.77521,4.22391,22.47881,20,
186310,25.12098,95195,14.35766,102.20300,523.25476,-9.84168,-2.44786,-0.33739,0.15577,0.11881,-0.04490,-37.69366,3.43467,23.06343,20,
